2011Zones,Public Transport Mean Indicator Minutes
Erskine East and Inchinnan - 04,9.4
Erskine East and Inchinnan - 05,14.7
Erskine East and Inchinnan - 06,14.5
Erskine East and Inchinnan - 07,10.6
Erskine East and Inchinnan - 08,6.7
Erskine East and Inchinnan - 09,8.6
Erskine West - 01,7.8
Erskine West - 02,9.8
Erskine West - 03,9.5
Erskine West - 04,7.6
Erskine West - 05,6.9
Erskine West - 06,6.6
Erskine West - 07,4.2
Eskbank - 01,18.4
Eskbank - 02,9.4
Eskbank - 03,8.7
Eskbank - 04,12.2
Eskbank - 05,8.5
Eskbank - 06,8.1
Ettrick Water and Bowhill Area,39.5
Eyemouth - Central,4.9
Eyemouth - Gunsgreen,9.3
Eyemouth - North,8.5
Eyemouth - Seafront Harbour,5
Eyemouth - South,7.4
Fair Isle,11.6
Fair Isle North,11.1
Fairhill - 01,6.1
Fairhill - 02,7.5
Fairhill - 03,5.1
Fairlie and Rural - 01,16.4
Fairlie and Rural - 02,18.8
Fairlie and Rural - 03,15.4
Fairlie and Rural - 04,15.3
Fairmilehead - 01,8.3
Fairmilehead - 02,7.8
Fairmilehead - 03,11.2
Fairmilehead - 04,15.3
Fairmilehead - 05,8
Fairmilehead - 06,9.7
Fairmuir - 01,4.2
Fairmuir - 02,8
Fairmuir - 03,7.2
Fairmuir - 04,11.5
Fairmuir - 05,6.7
Falkirk - Bainsford and Langlees - 01,10.8
Falkirk - Bainsford and Langlees - 02,13
Falkirk - Bainsford and Langlees - 03,7.1
Falkirk - Bainsford and Langlees - 04,10.5
Falkirk - Bainsford and Langlees - 05,10.6
Falkirk - Bainsford and Langlees - 06,9
Falkirk - Bantaskin - 01,7.3
Falkirk - Bantaskin - 02,6.4
Falkirk - Bantaskin - 03,8.3
Falkirk - Bantaskin - 04,10.5
Falkirk - Bantaskin - 05,7.4
Falkirk - Camelon East - 01,8.1
Falkirk - Camelon East - 02,5.5
Falkirk - Camelon East - 03,8.6
Falkirk - Camelon East - 04,3.5
Falkirk - Camelon East - 05,9.2
Falkirk - Camelon West - 01,11.6
Falkirk - Camelon West - 02,8.5
Falkirk - Camelon West - 03,8.9
Falkirk - Camelon West - 04,10.3
Falkirk - Grahamston - 01,3.6
Falkirk - Grahamston - 02,2.5
Falkirk - Grahamston - 03,4
Falkirk - Grahamston - 04,6.9
Falkirk - Grahamston - 05,5.3
Falkirk - Lochgreen and Lionthorn - 01,7.5
Falkirk - Lochgreen and Lionthorn - 02,14.3
Falkirk - Lochgreen and Lionthorn - 03,15.7
Falkirk - Lochgreen and Lionthorn - 04,18.9
Falkirk - Lochgreen and Lionthorn - 05,15.9
Falkirk - Merchiston and New Carron Village - 01,6.6
Falkirk - Merchiston and New Carron Village - 02,9.2
Falkirk - Merchiston and New Carron Village - 03,8.1
Falkirk - Merchiston and New Carron Village - 04,5.5
Falkirk - Merchiston and New Carron Village - 05,4.8
Falkirk - Merchiston and New Carron Village - 06,12
Falkirk - Middlefield - 01,3.6
Falkirk - Middlefield - 02,7.9
Falkirk - Middlefield - 03,6.6
Falkirk - Middlefield - 04,10
Falkirk - Middlefield - 05,10.2
Falkirk - Middlefield - 06,12.5
Falkirk - Tamfourhill - 01,8.1
Falkirk - Tamfourhill - 02,9.9
Falkirk - Tamfourhill - 03,11.6
Falkirk - Tamfourhill - 04,13.9
Falkirk - Town Centre and Callendar Park - 01,12.1
Falkirk - Town Centre and Callendar Park - 02,9.8
Falkirk - Town Centre and Callendar Park - 03,6.3
Falkirk - Town Centre and Callendar Park - 04,6.6
Falkirk - Town Centre and Callendar Park - 05,6.6
Falkland East and East Lomond,12.5
Falkland West and Craigmead,16
Fallin - 01,4.5
Fallin - 02,5.5
Fallin - 03,4.4
Fallin - 04,3.7
Fallside - 01,10.6
Fallside - 02,8.9
Fallside - 03,8.6
Fallside - 04,6.3
Fallside - 05,13.2
Fallside - 06,10.4
Fallside - 07,13.7
"Fankerton, Stoneywood and Denny Town - 01",10.7
"Fankerton, Stoneywood and Denny Town - 02",4.5
"Fankerton, Stoneywood and Denny Town - 03",3.4
"Fankerton, Stoneywood and Denny Town - 04",5.1
"Fankerton, Stoneywood and Denny Town - 05",7.2
"Fankerton, Stoneywood and Denny Town - 06",7.5
Farme Cross and Gallowflat North - 01,6.2
Farme Cross and Gallowflat North - 02,6.7
Farme Cross and Gallowflat North - 03,6.2
Farme Cross and Gallowflat North - 04,8.7
Fauldhouse - 01,5.8
Fauldhouse - 02,5.3
Fauldhouse - 03,11.1
Fauldhouse - 04,7.3
Fauldhouse - 05,4.3
Fauldhouse - 06,5
Fauldhouse - 07,5.2
Feddinch and The Grange,12.4
Fernhill and Cathkin - 01,19.5
Fernhill and Cathkin - 02,16.8
Fernhill and Cathkin - 03,15.4
Fernhill and Cathkin - 04,12.8
Fernhill and Cathkin - 05,10.2
Fernieside and Moredun South - 01,5.3
Fernieside and Moredun South - 02,4.3
Fernieside and Moredun South - 03,9.4
Fernieside and Moredun South - 04,11.9
Fernieside and Moredun South - 05,10.3
Ferryhill North - 01,6
Ferryhill North - 02,10.3
Ferryhill North - 03,7.5
Ferryhill North - 04,5
Ferryhill North - 05,7
Ferryhill North - 06,7
Ferryhill North - 07,5.4
Ferryhill South - 01,8.8
Ferryhill South - 02,9.2
Ferryhill South - 03,8.3
Ferryhill South - 04,6.2
Ferryhill South - 05,5.4
"Fetteresso, Netherley and Catter - 01",24.8
"Fetteresso, Netherley and Catter - 02",29.1
"Fetteresso, Netherley and Catter - 03",22.4
"Fetteresso, Netherley and Catter - 04",21.5
"Fetteresso, Netherley and Catter - 05",21.1
"Findhorn, Kinloss and Pluscarden Valley - 01",23.4
"Findhorn, Kinloss and Pluscarden Valley - 02",28.8
"Findhorn, Kinloss and Pluscarden Valley - 03",24.1
"Findhorn, Kinloss and Pluscarden Valley - 04",22.1
"Findhorn, Kinloss and Pluscarden Valley - 05",32.4
Finglassie North and Southfield,9.3
Finglassie South,8.8
Finnieston and Kelvinhaugh - 01,4.1
Finnieston and Kelvinhaugh - 02,5.8
Finnieston and Kelvinhaugh - 03,6.9
Finnieston and Kelvinhaugh - 04,2.1
Finnieston and Kelvinhaugh - 05,4.5
Finnieston and Kelvinhaugh - 06,2.6
Finnieston and Kelvinhaugh - 07,3.7
Fintry - 01,14.7
Fintry - 02,8.7
Fintry - 03,7.2
Fintry - 04,7.7
Fintry - 05,4.5
Fintry - 06,11.5
Fintry - 07,9.6
Fintry - 08,18.8
Fintry - 09,16.2
Firhill - 01,5.5
Firhill - 02,4.5
Firhill - 03,4.1
Firhill - 04,5.1
Firhill - 05,6.7
Firhill - 06,4.1
Firhill - 07,7
Firhill - 08,4.4
"Fishcross, Devon Village and Coalsnaughton - 01",8
"Fishcross, Devon Village and Coalsnaughton - 02",9.9
"Fishcross, Devon Village and Coalsnaughton - 03",10.1
Flisk Lindores and Luthrie,21
"Fochabers, Aultmore, Clochan and Ordiquish - 01",4.9
"Fochabers, Aultmore, Clochan and Ordiquish - 02",9.5
"Fochabers, Aultmore, Clochan and Ordiquish - 03",22.7
Foresters Lodge,9.8
Forfar Central - 01,7.7
Forfar Central - 02,6.9
Forfar Central - 03,4.9
Forfar Central - 04,5.4
Forfar Central - 05,4.4
Forfar Central - 06,3.8
Forfar East - 01,12.4
Forfar East - 02,7.8
Forfar East - 03,7.5
Forfar East - 04,8.2
Forfar East - 05,10.2
Forfar East - 06,10.8
Forfar West - 01,5
Forfar West - 02,8
Forfar West - 03,6.4
Forfar West - 04,10
Forfar West - 05,8
Forfar West - 06,6.1
Forgewood - 01,13.6
Forgewood - 02,9.8
Forgewood - 03,13
Forgewood - 04,10.6
Forgewood - 05,7.8
Forgewood - 06,10.9
Forgewood - 07,14.2
Formonthills,14.5
Forres Central East and seaward - 01,15.2
Forres Central East and seaward - 02,12.7
Forres Central East and seaward - 03,14.5
Forres Central East and seaward - 04,23.3
Forres Central East and seaward - 05,20.9
Forres Central East and seaward - 06,20.2
Forres South West and Mannachie - 01,11.7
Forres South West and Mannachie - 02,9.1
Forres South West and Mannachie - 03,13.4
Forres South West and Mannachie - 04,14.4
Forres South West and Mannachie - 05,7.7
Forres South West and Mannachie - 06,9.5
Forres South West and Mannachie - 07,8.1
Forres South West and Mannachie - 08,19.5
Fort William North - 01,10.9
Fort William North - 02,10.7
Fort William North - 03,10.9
Fort William North - 04,8.2
Fort William North - 05,11.3
Fort William North - 06,12.8
Fort William South - 01,22.5
Fort William South - 02,19.6
Fort William South - 03,25.3
Fort William South - 04,25.2
Fort William South - 05,11.7
Fort William South - 06,11.2
Fort William South - 07,13.4
Fort William South - 08,19.1
Forth - 01,7.8
Forth - 02,6.4
Forth - 03,11.3
Forth - 04,18.1
Forth Park,5.8
Forth Park North,6.4
"Forth, Braehead and Auchengray - 01",14.6
"Forth, Braehead and Auchengray - 02",21
"Forth, Braehead and Auchengray - 03",10.1
"Forth, Braehead and Auchengray - 04",5.1
"Forth, Braehead and Auchengray - 05",6.5
Foulden and Area,15.4
Fraserburgh Central-Academy - 01,5.9
Fraserburgh Central-Academy - 02,5
Fraserburgh Central-Academy - 03,4.1
Fraserburgh Central-Academy - 04,5.1
Fraserburgh Harbour and Broadsea - 01,8
Fraserburgh Harbour and Broadsea - 02,4.1
Fraserburgh Harbour and Broadsea - 03,7.4
Fraserburgh Harbour and Broadsea - 04,5
Fraserburgh Lochpots - 01,6.7
Fraserburgh Lochpots - 02,7
Fraserburgh Lochpots - 03,7.6
Fraserburgh Smiddyhill - 01,11.5
Fraserburgh Smiddyhill - 02,6.6
Fraserburgh Smiddyhill - 03,6.6
Fraserburgh Smiddyhill - 04,9.7
Fraserburgh Smiddyhill - 05,15.1
Fraserburgh Smiddyhill - 06,10.3
Freuchie North and New Inn,11.5
Freuchie South and Muirhead,13.3
Friockheim - 01,17
Friockheim - 02,4.6
Friockheim - 03,25.6
Friockheim - 04,26.3
"Froghall, Powis and Sunnybank - 01",7.4
"Froghall, Powis and Sunnybank - 02",6.2
"Froghall, Powis and Sunnybank - 03",5.9
"Froghall, Powis and Sunnybank - 04",5.2
"Froghall, Powis and Sunnybank - 05",6.6
"Froghall, Powis and Sunnybank - 06",3.1
"Froghall, Powis and Sunnybank - 07",3.5
"Froghall, Powis and Sunnybank - 08",4.6
Fyvie-Rothie - 01,3.6
Fyvie-Rothie - 02,25.8
Fyvie-Rothie - 03,21.4
Fyvie-Rothie - 04,21.6
Fyvie-Rothie - 05,25.7
Fyvie-Rothie - 06,28.5
Gala - Langlee - Central,7.7
Gala - Langlee - East,10.3
Gala - Langlee - West,9.1
Galashiels - N - Halliburton,9.5
Galashiels - N - Town Centre,5.1
Galashiels - N - Windyknowe,8.9
Galashiels - N - Wood St,9.7
Galashiels - S - Glenfield,4.7
Galashiels - S - Huddersfield,4.8
Galashiels - S - Netherdale,9.8
Galashiels - S - St Peters Sch,7
Galashiels - W - Balmoral Pl,8
Galashiels - W - Balmoral Rd,9.4
Galashiels - W - Old Town,5
Galashiels - W - Thistle St,7
Gallatown West,9.6
Gallowgate North and Bellgrove - 01,4.1
Gallowgate North and Bellgrove - 02,6.7
Gallowgate North and Bellgrove - 03,3.3
Gallowgate North and Bellgrove - 04,7.8
Gallowgate North and Bellgrove - 05,9.9
Galston - 01,16.7
Galston - 02,15.3
Galston - 03,11.2
Galston - 04,11.2
Galston - 05,12.1
Galston - 06,11.9
Gannochy and Walnut Grove - 01,9.7
Gannochy and Walnut Grove - 02,16.1
Gannochy and Walnut Grove - 03,11.4
Gannochy and Walnut Grove - 04,12.1
Gannochy and Walnut Grove - 05,9.7
Gardenstown and King Edward - 01,21
Gardenstown and King Edward - 02,20.9
Gardenstown and King Edward - 03,5
Gardenstown and King Edward - 04,27
Garelochhead - 01,8.6
Garelochhead - 02,7.3
Garelochhead - 03,15.3
Garelochhead - 04,8.7
Garelochhead - 05,14.1
Garelochhead - 06,7.2
Garelochhead - 07,4.2
Garelochhead - 08,6.3
Garlogie and Elrick - 01,13.4
Garlogie and Elrick - 02,19.6
Garlogie and Elrick - 03,18.3
Garlogie and Elrick - 04,18.7
Garlogie and Elrick - 05,16.4
Garrowhill East and Swinton - 01,10.9
Garrowhill East and Swinton - 02,11.8
Garrowhill East and Swinton - 03,14.6
Garrowhill East and Swinton - 04,14.4
Garrowhill East and Swinton - 05,9.9
Garrowhill West - 01,8.4
Garrowhill West - 02,12.4
Garrowhill West - 03,13.4
Garrowhill West - 04,7.9
Garrowhill West - 05,8.4
Garrowhill West - 06,8.6
Gartcosh and Marnock - 01,20
Gartcosh and Marnock - 02,10.2
Gartcosh and Marnock - 03,7.2
Gartcosh and Marnock - 04,3.1
Gartcosh and Marnock - 05,10.4
Gartcosh and Marnock - 06,13.2
Gartcosh and Marnock - 07,15.7
"Garthamlock, Auchinlea and Gartloch - 01",3.4
"Garthamlock, Auchinlea and Gartloch - 02",2.9
"Garthamlock, Auchinlea and Gartloch - 03",9.9
"Garthamlock, Auchinlea and Gartloch - 04",8.9
"Garthamlock, Auchinlea and Gartloch - 05",10.3
Garthdee - 01,8
Garthdee - 02,6.7
Garthdee - 03,7.1
Garthdee - 04,11.5
Garthdee - 05,9.4
Garthdee - 06,8
Gartlea - 01,8.3
Gartlea - 02,7.5
Gartlea - 03,5.8
Gartlea - 04,7.1
Gartlea - 05,9.3
Garvock Hill North East,11.6
Garvock Hill South,12.6
Garvock Hill West,11.1
Gatehouse - 01,18.3
Gatehouse - 02,7.6
Gatehouse - 03,25
Gatehouse - 04,24.9
Gatehouse - 05,14.5
Gateside Landward,6.3
Gattonside - Darnick - Chiefswood,14.3
Gauldry and Balmerino,18.5
George Street - 01,5.8
George Street - 02,6.3
George Street - 03,7.3
George Street - 04,4.8
George Street - 05,4.8
George Street - 06,2.7
George Street - 07,4
George Street - 08,5.4
Georgetown - 01,12.1
Georgetown - 02,9.2
Georgetown - 03,5.1
Georgetown - 04,8
Giffordtown to Lathrisk,12.1
Gilmerton South and the Murrays - 01,15.2
Gilmerton South and the Murrays - 02,12.8
Gilmerton South and the Murrays - 03,8.3
Girvan Ailsa - 01,15.1
Girvan Ailsa - 02,13.4
Girvan Ailsa - 03,13
Girvan Ailsa - 04,11.9
Girvan Ailsa - 05,9.5
Girvan Glendoune - 01,19.9
Girvan Glendoune - 02,17.5
Girvan Glendoune - 03,18.2
Girvan Glendoune - 04,21.7
Girvan Glendoune - 05,20.6
Glasgow Harbour and Partick South - 01,2.2
Glasgow Harbour and Partick South - 02,7.6
Glasgow Harbour and Partick South - 03,2.9
Glasgow Harbour and Partick South - 04,4.2
Glasgow Harbour and Partick South - 05,10.9
"Glassford, Quarter and Allanton - 01",15.3
"Glassford, Quarter and Allanton - 02",11.9
"Glassford, Quarter and Allanton - 03",11.7
"Glassford, Quarter and Allanton - 04",9.1
Glencraig Landward,7.5
"Glenfarg, Dunning and Rhynd - 01",12.7
"Glenfarg, Dunning and Rhynd - 02",9
"Glenfarg, Dunning and Rhynd - 03",21
"Glenfarg, Dunning and Rhynd - 04",20.3
"Glenfarg, Dunning and Rhynd - 05",24.5
Glenkens - 01,33
Glenkens - 02,20.7
Glenkens - 03,23.4
Glenkens - 04,10.7
Glenkens - 05,29.3
Glenmavis and Greengairs - 01,18
Glenmavis and Greengairs - 02,14.3
Glenmavis and Greengairs - 03,16.5
Glenmavis and Greengairs - 04,20.8
Glenmavis and Greengairs - 05,18.2
Glenmavis and Greengairs - 06,22.2
Glentress and Manor Valley,23.2
Glenwood North - 01,7.3
Glenwood North - 02,10.6
Glenwood North - 03,10.5
Glenwood North - 04,10.1
Glenwood North - 05,10.2
Glenwood North - 06,9.9
Glenwood South - 01,9.6
Glenwood South - 02,6.5
Glenwood South - 03,9
Glenwood South - 04,8.9
Glenwood South - 05,7.8
Glenwood South - 06,9.4
Glenwood South - 07,7.6
Gorbals and Hutchesontown - 01,9.8
Gorbals and Hutchesontown - 02,8.1
Gorbals and Hutchesontown - 03,6.4
Gorbals and Hutchesontown - 04,6.8
Gorbals and Hutchesontown - 05,2.7
Gorbals and Hutchesontown - 06,8
Gorbals and Hutchesontown - 07,8.7
Gorbals and Hutchesontown - 08,6.6
Gordon and Hume Area,16.7
Gorebridge and Middleton - 01,6.3
Gorebridge and Middleton - 02,3.7
Gorebridge and Middleton - 03,5.9
Gorebridge and Middleton - 04,6.5
Gorebridge and Middleton - 05,4.8
Gorgie East - 01,6.1
Gorgie East - 02,3.1
Gorgie East - 03,3.1
Gorgie East - 04,4.9
Gorgie East - 05,5.7
Gorgie West - 01,4.6
Gorgie West - 02,8.2
Gorgie West - 03,8.2
Gorgie West - 04,6.7
Gorgie West - 05,6.9
"Gourock Central, Upper East and IRH - 01",3.1
"Gourock Central, Upper East and IRH - 02",6.4
"Gourock Central, Upper East and IRH - 03",8
"Gourock Central, Upper East and IRH - 04",9.8
"Gourock Central, Upper East and IRH - 05",8.8
"Gourock Central, Upper East and IRH - 06",11.5
"Gourock East, Greenock West and Lyle Road - 01",9.5
"Gourock East, Greenock West and Lyle Road - 02",11.8
"Gourock East, Greenock West and Lyle Road - 03",8.3
"Gourock East, Greenock West and Lyle Road - 04",12.8
"Gourock East, Greenock West and Lyle Road - 05",9.4
"Gourock East, Greenock West and Lyle Road - 06",11.1
"Gourock East, Greenock West and Lyle Road - 07",12.3
Gourock Upper and West Central and Upper Larkfield - 01,6.9
Gourock Upper and West Central and Upper Larkfield - 02,10.4
Gourock Upper and West Central and Upper Larkfield - 03,8.6
Gourock Upper and West Central and Upper Larkfield - 04,6.5
Gourock Upper and West Central and Upper Larkfield - 05,4
Gourock Upper and West Central and Upper Larkfield - 06,4.8
Govan and Linthouse - 01,3.6
Govan and Linthouse - 02,6.8
Govan and Linthouse - 03,6.7
Govan and Linthouse - 04,2.3
Govan and Linthouse - 05,3.6
Govan and Linthouse - 06,5.6
Govan and Linthouse - 07,5.6
Govanhill East and Aikenhead - 01,5.1
Govanhill East and Aikenhead - 02,6.5
Govanhill East and Aikenhead - 03,6.7
Govanhill East and Aikenhead - 04,6.3
Govanhill East and Aikenhead - 05,5.6
Govanhill West - 01,2.7
Govanhill West - 02,3.9
Govanhill West - 03,3.2
Govanhill West - 04,2.3
Govanhill West - 05,4.6
Govanhill West - 06,4.9
Govanhill West - 07,3.8
Gowkhall and Landward,20.7
"Gracemount, Southhouse and Burdiehouse - 01",6.8
"Gracemount, Southhouse and Burdiehouse - 02",9.6
"Gracemount, Southhouse and Burdiehouse - 03",7.9
"Gracemount, Southhouse and Burdiehouse - 04",5.4
"Gracemount, Southhouse and Burdiehouse - 05",6.2
"Gracemount, Southhouse and Burdiehouse - 06",6.6
"Grange, Howard and Gargieston - 01",7.5
"Grange, Howard and Gargieston - 02",7.6
"Grange, Howard and Gargieston - 03",4.6
"Grange, Howard and Gargieston - 04",8.8
"Grange, Howard and Gargieston - 05",6.1
"Grange, Howard and Gargieston - 06",7.4
"Grange, Howard and Gargieston - 07",9.1
"Grange, Howard and Gargieston - 08",19.9
Grangemouth - Bowhouse - 01,12.1
Grangemouth - Bowhouse - 02,9
Grangemouth - Bowhouse - 03,7.6
Grangemouth - Bowhouse - 04,10
Grangemouth - Bowhouse - 05,8.4
Grangemouth - Kersiebank - 01,6.1
Grangemouth - Kersiebank - 02,4.5
Grangemouth - Kersiebank - 03,6.1
Grangemouth - Kersiebank - 04,4.3
Grangemouth - Kersiebank - 05,4.4
Grangemouth - Kersiebank - 06,6.8
Grangemouth - Newlands - 01,14.8
Grangemouth - Newlands - 02,12
Grangemouth - Newlands - 03,10.2
Grangemouth - Newlands - 04,12.9
Grangemouth - Newlands - 05,10.7
Grangemouth - Newlands - 06,9
Grangemouth - Newlands - 07,10.3
Grangemouth - Newlands - 08,7.9
Grangemouth - Town Centre - 01,6.8
Grangemouth - Town Centre - 02,6.4
Grangemouth - Town Centre - 03,5.2
Grangemouth - Town Centre - 04,5.6
Grangemouth - Town Centre - 05,7.8
Granton and Royston Mains - 01,8.9
Granton and Royston Mains - 02,5.8
Granton and Royston Mains - 03,3.6
Granton and Royston Mains - 04,2.3
Granton South and Wardieburn - 01,7.3
Granton South and Wardieburn - 02,5.4
Granton South and Wardieburn - 03,7.4
Granton South and Wardieburn - 04,8.5
Granton West and Salvesen - 01,8.5
Granton West and Salvesen - 02,10.2
Granton West and Salvesen - 03,5.3
Granton West and Salvesen - 04,6.9
Granton West and Salvesen - 05,7.5
Great Junction Street - 01,4.6
Great Junction Street - 02,3
Great Junction Street - 03,4.5
Great Junction Street - 04,2.8
Great Junction Street - 05,4.8
Great Junction Street - 06,2.3
Great Junction Street - 07,5.9
Greater Lochgilphead - 01,8.4
Greater Lochgilphead - 02,8.1
Greater Lochgilphead - 03,16
Greater Lochgilphead - 04,20.3
Greater Lochgilphead - 05,15.8
Greenbank and The Braids - 01,7.3
Greenbank and The Braids - 02,8.8
Greenbank and The Braids - 03,8.3
Greenbank and The Braids - 04,11.8
Greenbank and The Braids - 05,14.2
Greenend and Carnbroe - 01,20.9
Greenend and Carnbroe - 02,18.9
Greenend and Carnbroe - 03,20.7
Greenend and Carnbroe - 04,13.1
Greenend and Carnbroe - 05,14.2
Greenend and Carnbroe - 06,17.1
Greenend and Carnbroe - 07,20.4
Greenfaulds - 01,12.7
Greenfaulds - 02,9.4
Greenfaulds - 03,8.7
Greenfaulds - 04,7.6
Greenfaulds - 05,11
Greenfield - 01,4.8
Greenfield - 02,6.5
Greenfield - 03,6.8
Greenfield - 04,4.1
Greenfield - 05,7.2
Greenfield - 06,4.8
Greenhills - 01,9.4
Greenhills - 02,8
Greenhills - 03,11.4
Greenhills - 04,9.7
Greenhills - 05,11.7
Greenlaw,4.8
Greenock East - 01,19.2
Greenock East - 02,22.4
Greenock East - 03,20.2
Greenock East - 04,16.6
Greenock East - 05,14.4
Greenock East - 06,13.7
Greenock East - 07,12.3
Greenock East - 08,12
Greenock East - 09,11.7
Greenock Town Centre and East Central - 01,4.2
Greenock Town Centre and East Central - 02,5.8
Greenock Town Centre and East Central - 03,4.4
Greenock Town Centre and East Central - 04,5.9
Greenock Town Centre and East Central - 05,11.2
Greenock Town Centre and East Central - 06,11.1
Greenock Town Centre and East Central - 07,12.2
Greenock Town Centre and East Central - 08,16.1
Greenock Upper Central - 01,5.2
Greenock Upper Central - 02,6.1
Greenock Upper Central - 03,5
Greenock Upper Central - 04,2.7
Greenock Upper Central - 05,4
Greenock Upper Central - 06,2.9
Greenock West and Central - 01,9.3
Greenock West and Central - 02,8.7
Greenock West and Central - 03,4.2
Greenock West and Central - 04,3.3
Greenock West and Central - 05,6.6
Greenock West and Central - 06,3.3
Greenock West and Central - 07,6
Greenock West and Central - 08,8.3
Gretna - 01,18.9
Gretna - 02,7.5
Gretna - 03,3.2
Gretna - 04,6.2
Gretna - 05,6.2
Gretna - 06,7.9
Guardbridge,8
"Guildtown, Balbeggie and St Madoes - 01",8.3
"Guildtown, Balbeggie and St Madoes - 02",16.8
"Guildtown, Balbeggie and St Madoes - 03",14.5
"Guildtown, Balbeggie and St Madoes - 04",26.2
Gullane and Drem - 01,25.4
Gullane and Drem - 02,9.1
Gullane and Drem - 03,12.5
Gullane and Drem - 04,9.8
Gullane and Drem - 05,10.9
Gullane and Drem - 06,16.6
Haddington North - 01,11
Haddington North - 02,8
Haddington North - 03,8.9
Haddington North - 04,6.9
Haddington North - 05,6.2
Haddington Rural - 01,18.1
Haddington Rural - 02,20.5
Haddington Rural - 03,25.9
Haddington Rural - 04,25.2
Haddington Rural - 05,23.3
Haddington Rural - 06,18.7
Haddington South - 01,6.4
Haddington South - 02,5.5
Haddington South - 03,9.7
Haddington South - 04,6.9
Haddington South - 05,7
Haddington South - 06,9
Hairmyres and Westwood West - 01,12.4
Hairmyres and Westwood West - 02,12.4
Hairmyres and Westwood West - 03,14.4
Hairmyres and Westwood West - 04,8.3
Hairmyres and Westwood West - 05,11.7
Halbeath,12.9
"Halfway, Hallside and Drumsagard - 01",9.3
"Halfway, Hallside and Drumsagard - 02",8.3
"Halfway, Hallside and Drumsagard - 03",10.1
"Halfway, Hallside and Drumsagard - 04",9.7
"Halfway, Hallside and Drumsagard - 05",12.6
"Halfway, Hallside and Drumsagard - 06",7.3
"Halfway, Hallside and Drumsagard - 07",14.6
Hallglen and Glen Village - 01,18.6
Hallglen and Glen Village - 02,17.2
Hallglen and Glen Village - 03,14.6
Hallglen and Glen Village - 04,12.4
Hallow Hill,5.6
Hallow Hill South,7
